Original Index,Values,Ticker,Forward Return,Monday Datetime,Monday First Hour Close,Friday Last Hour Open
22,11.0,C,6.729735540743932,2023-04-10 14:30:00,46.51,49.64
98,84.0,SKX,6.1840120663650175,2023-04-10 14:30:00,46.41,49.28
18,109.0,BLK,5.764599407893734,2023-04-10 14:30:00,651.91,689.49
12,5.0,BAC,5.4960742326909315,2023-04-10 14:30:00,28.02,29.56
100,113.0,SPGI,5.397219614138169,2023-04-10 14:30:00,330.17,347.99
58,78.0,ISRG,12.547328959700105,2023-04-17 14:30:00,266.75,300.22
107,119.0,TRV,6.253687315634215,2023-04-17 14:30:00,169.5,180.1
96,70.0,SCHW,5.475956820412167,2023-04-17 14:30:00,50.95,53.74
68,120.0,MDB,5.179336792240013,2023-04-17 14:30:00,221.65,233.13
14,101.0,BAX,4.975587072773775,2023-04-17 14:30:00,43.01,45.15
27,104.0,CLX,4.241240231913277,2023-04-17 14:30:00,158.68,165.41
108,125.0,TSCO,4.14609656095724,2023-04-17 14:30:00,239.02,248.93
7,23.0,AMZN,4.12391093901259,2023-04-17 14:30:00,103.3,107.56
65,126.0,LOW,3.9887723445117422,2023-04-17 14:30:00,203.07,211.17
103,14.0,SYK,3.895392619976722,2023-04-17 14:30:00,292.14,303.52
28,100.0,CMG,14.444136401441643,2023-04-24 14:30:00,36.07,41.28
71,22.0,META,12.7381064089331,2023-04-24 14:30:00,213.14,240.29
74,4.0,MSFT,7.682016617377831,2023-04-24 14:30:00,284.04,305.86
23,124.0,CHD,6.27253852038028,2023-04-24 14:30:00,91.51,97.25
87,89.0,PNC,5.978526110297701,2023-04-24 14:30:00,122.94,130.29
98,97.0,SKX,5.847016419703648,2023-04-24 14:30:00,49.94,52.86
75,24.0,MU,5.661314351928492,2023-04-24 14:30:00,60.41,63.83
95,123.0,SBUX,5.048454083987078,2023-04-24 14:30:00,108.35,113.82
116,88.0,USB,4.052407068860446,2023-04-24 14:30:00,32.82,34.15
14,101.0,BAX,3.912568306010927,2023-04-24 14:30:00,45.75,47.54
97,5.0,SHOP,27.14727085478888,2023-05-01 14:30:00,48.55,61.73
34,87.0,DDOG,15.159332321699537,2023-05-01 14:30:00,65.9,75.89
80,69.0,OKTA,8.287863147028467,2023-05-01 14:30:00,67.81,73.43
99,28.0,SNOW,5.968828693935875,2023-05-01 14:30:00,146.93,155.7
109,90.0,TSLA,5.07071830029029,2023-05-01 14:30:00,161.91,170.12
62,122.0,KHC,4.787234042553194,2023-05-01 14:30:00,39.48,41.37
52,27.0,HUBS,4.37741358199114,2023-05-01 14:30:00,424.68,443.27
31,107.0,CRWD,4.297506595183386,2023-05-01 14:30:00,117.51,122.56
17,113.0,BIIB,4.2169660090947705,2023-05-01 14:30:00,305.67,318.56
24,55.0,CI,3.3518452873291547,2023-05-01 14:30:00,253.89,262.4
86,94.0,PLTR,22.9127416316102,2023-05-08 14:30:00,7.7494,9.525
34,115.0,DDOG,14.793366675440897,2023-05-08 14:30:00,75.98,87.22
48,113.0,GOOG,10.418823529411759,2023-05-08 14:30:00,106.25,117.32
76,86.0,NET,9.253929599291565,2023-05-08 14:30:00,45.17,49.35
68,123.0,MDB,8.93004115226337,2023-05-08 14:30:00,243.0,264.7
99,125.0,SNOW,6.187460417986055,2023-05-08 14:30:00,157.9,167.67
4,121.0,AMD,5.80342167058034,2023-05-08 14:30:00,89.43,94.62
55,65.0,ILMN,5.159577237465506,2023-05-08 14:30:00,192.07,201.98
93,98.0,RNG,4.781943381790359,2023-05-08 14:30:00,26.14,27.39
78,120.0,NOW,4.670908039329092,2023-05-08 14:30:00,432.25,452.44
86,56.0,PLTR,28.243249196070664,2023-05-15 14:30:00,9.0804,11.645
76,14.0,NET,14.817001180637545,2023-05-15 14:30:00,50.82,58.35
93,57.0,RNG,12.24194132560666,2023-05-15 14:30:00,27.61,30.99
4,104.0,AMD,11.56282998944034,2023-05-15 14:30:00,94.7,105.65
78,123.0,NOW,11.420564021720084,2023-05-15 14:30:00,456.72,508.88
79,89.0,NVDA,10.757254069355977,2023-05-15 14:30:00,28.26,31.3
112,80.0,TWLO,10.019560965007607,2023-05-15 14:30:00,46.01,50.62
75,124.0,MU,10.000000000000005,2023-05-15 14:30:00,62.0,68.2
64,48.0,LNC,9.322916666666663,2023-05-15 14:30:00,19.2,20.99
1,118.0,ADBE,9.138303859711492,2023-05-15 14:30:00,337.59,368.44
79,4.0,NVDA,24.23273657289002,2023-05-22 14:30:00,31.28,38.86
4,80.0,AMD,18.458228084947145,2023-05-22 14:30:00,106.89,126.62
10,61.0,AVGO,18.15108759553203,2023-05-22 14:30:00,68.04,80.39
86,91.0,PLTR,16.560238399318862,2023-05-22 14:30:00,11.745,13.69
75,100.0,MU,12.106060606060598,2023-05-22 14:30:00,66.0,73.99
112,109.0,TWLO,11.393805309734512,2023-05-22 14:30:00,54.24,60.42
1,48.0,ADBE,10.882006846384252,2023-05-22 14:30:00,373.92,414.61
93,82.0,RNG,10.606060606060606,2023-05-22 14:30:00,31.68,35.04
120,71.0,WDAY,9.264042951932327,2023-05-22 14:30:00,197.43,215.72
105,88.0,TEAM,8.00207509240646,2023-05-22 14:30:00,154.21,166.55
56,116.0,INTC,12.976153607928145,2023-06-12 14:30:00,32.29,36.48
79,79.0,NVDA,11.162670791441089,2023-06-12 14:30:00,38.79,43.12
38,104.0,DPZ,11.001339584728722,2023-06-12 14:30:00,298.6,331.45
40,67.0,EW,10.176779741997128,2023-06-12 14:30:00,83.72,92.24
81,32.0,ORCL,9.669565217391309,2023-06-12 14:30:00,115.0,126.12
99,91.0,SNOW,8.390703147984713,2023-06-12 14:30:00,169.95,184.21
1,37.0,ADBE,7.733910221741482,2023-06-12 14:30:00,462.25,498.0
35,71.0,DG,7.678641926569297,2023-06-12 14:30:00,151.98,163.65
66,125.0,LULU,6.78377925487349,2023-06-12 14:30:00,358.06,382.35
76,124.0,NET,6.487415976238871,2023-06-12 14:30:00,63.97,68.12
42,71.0,F,7.365439093484426,2023-06-26 14:30:00,14.12,15.16
86,49.0,PLTR,7.097186700767266,2023-06-26 14:30:00,14.3888,15.41
64,107.0,LNC,6.727197688815514,2023-06-26 14:30:00,24.23,25.86
40,114.0,EW,6.562359297613686,2023-06-26 14:30:00,88.84,94.67
88,125.0,PPG,6.275462797512688,2023-06-26 14:30:00,139.91,148.69
